"","prec_num","approx_year_built","cats_allowed","common_charges","community_district_num","coop_condo","date_of_sale","dining_room_type","dogs_allowed","fuel_type","garage_exists","kitchen_type","maintenance_cost","num_bedrooms","num_floors_in_building","num_full_bathrooms","num_total_rooms","parking_charges","pct_tax_deductibl","sale_price","sq_footage","total_taxes","walk_score","listing_price_to_nearest_1000","zipcodes","num_train","num_liq","num_crimes"
"476",111,1952,"yes",452.18,26,"co-op",16953,"combo","no","gas","NA","efficiency",687,1,2,1,4,62.96,38.67,176000,654.92,1506.6,68,185640,11362,0,7,3010
"477",111,1955,"no",625.06,26,"co-op",16885,"combo","no","oil","NA","efficiency",664,1,2,1,3,49.6333333333333,50,155000,677.885,2224.198,82,168528.666666667,11362,0,7,3010
"478",111,1961,"yes",405.526666666667,26,"co-op",17143,"combo","no","gas","NA","efficiency",676,1,6,1,3,95,32.9633333333333,163000,693.2,1044.64,76,205860,11362,1,9,3010
"479",111,1952,"yes",681.34,26,"co-op",17185,"formal","no","gas","NA","eat in",989,2,3.6,1,5,56.15,50.46,293800,991.93,2824.63,77,320578,11362,0,7,3010
"480",111,1950,"yes",639.62,26,"co-op",16967,"combo","yes","gas","yes","efficiency",655,1,2,1,3,57.13,49.96,155000,650.75,2379.51,60,181062,11364,0,6,3010
"481",111,1975,"no",1031.12,26,"co-op",17178,"formal","no","gas","yes","eat in",4659,3,33,3,6,145,50,999999,2489,4780.01,54,857890,11005,0,5,3010
"482",112,2005,"no",531,24,"condo",17156,"combo","no","gas","NA","efficiency",686.65,2,5,2,4,88.52,35.6,512000,943,893.13,70,537870,11385,0,17,3139
"483",112,1987,"no",405,24,"condo",16968,"combo","yes","gas","NA","efficiency",716.82,3,3,2,6,102.89,39.44,460000,1033,3500,84,483056.666666667,11379,0,15,3139
"484",112,2005,"yes",457,24,"condo",17072,"combo","yes","gas","NA","eat in",594.99,2,5,2,3,110.6,34.84,440000,900,625,70,513730,11385,0,17,3139
"485",112,2007,"no",333,24,"condo",16911,"combo","no","gas","yes","eat in",490.13,2,3,2,4,195.99,35.32,476000,863,699,92,501346.666666667,11385,0,20,3139
"486",113,1945,"no",496.21,29,"co-op",16890,"combo","no","oil","NA","efficiency",720,2,2,1,4,64.62,38.6,124000,702,1619.61,73,170180,11413,1,10,8046
"487",113,1950,"no",487.09,29,"co-op",17007,"combo","no","gas","NA","eat in",685.665,1,3.44,1,4,69,35.51,103500,683.286666666667,1136.51,82,171730,11422,2,8,8046
"488",115,2007,"no",218,30,"condo",17189,"formal","no","other","NA","combo",773.463333333333,1,7.37,1,3,249.34,25,480000,2338,25,95,640651.666666667,11101,0,20,7979
"489",115,1951,"no",388.346666666667,24,"co-op",17067,"combo","no","oil","NA","eat in",465,0,6,1,2,148.162,42.34,175000,548.71,2116.08,96,223750,11377,1,20,7979
"490",115,1963,"yes",465.21,24,"co-op",16918,"combo","yes","oil","yes","efficiency",458,1,5,1,2,245,47.9,173000,605.18,2456.35,91,201970,11377,1,20,7979
"491",115,1951,"yes",678.45,30,"co-op",17009,"other","yes","other","yes","combo",647,1,6,1,3,133,50,280000,805.1,2861.07,96,322490,11372,1,20,7979
"492",115,1989,"yes",327,30,"condo",17186,"combo","yes","electric","NA","efficiency",571.51,0,23,1,2,159.233333333333,34.8333333333333,385000,683.356666666667,1042,81,426110,11102,0,20,7979
"493",115,1948,"no",308,29,"condo",17066,"combo","no","oil","NA","eat in",560.72,1,6,1,3,222.27,33.54,415500,743,234,98,466457.5,11104,1,20,7979
"494",115,1960,"no",721.27,24,"co-op",16996,"combo","no","gas","NA","efficiency",722,2,6,1,4,55.0966666666667,50.16,247000,889.61,3110.21,81,261175,11378,1,19,7979
"495",115,2001,"no",503,24,"condo",17072,"combo","no","gas","NA","efficiency",670.3,2,3,2,5,96,37.37,450000,957.12,1421,82,500230,11379,0,19,7979
"496",115,1958,"yes",818.08,30,"co-op",16952,"other","yes","gas","NA","efficiency",869,3,9.71,1,5,500,60.155,505000,1035,2980.825,93,477566.666666667,11106,0,20,7979
"497",115,1978,"no",210,24,"condo",17030,"combo","no","gas","NA","efficiency",456.053333333333,1,3,1,3,136.86,40.84,298000,657,2037,84,343916.666666667,11379,0,20,7979
"498",115,2016,"yes",438,30,"condo",17184,"combo","yes","gas","NA","combo",731.68,1,8.78,1,4,244.94,33.91,775000,980.05,28,96,710685,11102,0,20,7979
"499",115,1926,"yes",414.84,30,"co-op",17003,"combo","no","oil","NA","eat in",768,1,1,1,3,187.56,40,325000,736.145,1608.267,97,311930,11106,0,20,7979
"500",115,1961,"no",648,4,"co-op",17015,"other","no","none","NA","eat in",704.73,1,6,1,3,148.475,49.645,225000,776.7,2440.89,93,264683.333333333,11104,0,17,7979
"501",115,1935,"no",579.37,30,"co-op",16946,"combo","no","gas","NA","eat in",523,1,6,1,3,147.156666666667,48.87,278000,700,2701.32333333333,90,264940,11377,1,20,7979
"502",115,2008,"no",359,30,"condo",17088,"combo","no","gas","NA","combo",492.1325,2,6,2,6,176.77,33.01,568000,700,663,96,600850,11377,1,20,7979
"503",115,2008,"no",271,30,"condo",17088,"combo","no","gas","NA","combo",543.7625,2,5,2,4,163.72,38.17,545000,898,2148,92,585050,11377,1,20,7979
"504",115,1921,"yes",504.37,30,"co-op",17125,"formal","no","oil","NA","efficiency",689,2,5.93,1,5,155.85,31.58,575000,984.633333333333,1613.83166666667,99,590170,11372,1,20,7979
"505",115,1989,"yes",534,30,"condo",17179,"combo","yes","electric","yes","efficiency",893.365,2,23,2,6,163.494954751131,40.69,650000,886,2580,81,696120,11102,0,20,7979
"506",115,1937,"yes",575.49,30,"co-op",16972,"combo","no","oil","NA","efficiency",397,0,6,1,2,132.16,48.9455555555556,182000,534.6,2030.46,98,202471.111111111,11372,1,20,7979
"507",115,1922,"yes",482.023214285714,30,"co-op",17189,"formal","yes","gas","NA","efficiency",885,3,4,2,6,156.09,25,692000,1300,1971,97,715850,11372,1,20,7979
"508",115,1940,"yes",695.72,30,"co-op",17143,"other","yes","other","NA","combo",821,1,6,1,3,150.91,50,430000,918,3043.03666666667,97,499330,11372,1,20,7979
"509",115,1926,"yes",430.48,30,"co-op",16952,"combo","no","oil","NA","efficiency",757,1,4,1,3,193.43,40,310000,706.855,1769.32,97,299660,11106,0,20,7979
"510",115,1935,"yes",537.09,11,"co-op",16994,"formal","no","gas","NA","combo",523,1,6,1,4,165.206666666667,46.03,281000,766.78,2466.23,93,307610,11377,1,20,7979
"511",115,1936,"no",583.33,30,"co-op",16910,"combo","no","oil","NA","eat in",452,0,6.63,1,2,107.775,49.5055555555556,175000,529.94,2184.06,85,177281.111111111,11377,1,20,7979
"512",115,2005,"no",335.862647058823,30,"condo",16853,"other","no","gas","NA","eat in",443.58,1,4,1,3,234.1,38.88,535000,681,1320,98,590120,11102,0,20,7979
"513",115,1984,"yes",385,24,"condo",16867,"other","no","gas","NA","eat in",672.8,2,3,1,5,113.03,40.19,527000,1000,3186,68,521370,11379,0,20,7979
"514",115,1940,"yes",805.88,30,"co-op",17150,"other","yes","other","NA","combo",1088,2,6,1,4,144.31,50,572500,980,3323.84166666667,97,583210,11372,1,20,7979
"515",115,1949,"yes",496,11,"condo",17123,"combo","yes","oil","NA","efficiency",671.875,2,1,1,4,118.96,38.0033333333333,445000,821,2475,81,494785,11370,0,20,7979
